Date,Price
8/1/17 16:00,930.83
8/2/17 16:00,930.39
8/3/17 16:00,923.65
8/4/17 16:00,927.96
8/7/17 16:00,929.36
8/8/17 16:00,926.79
8/9/17 16:00,922.9
8/10/17 16:00,907.24
8/11/17 16:00,914.39
8/14/17 16:00,922.67
8/15/17 16:00,922.22
8/16/17 16:00,926.96
8/17/17 16:00,910.98
8/18/17 16:00,910.67
8/21/17 16:00,906.66
8/22/17 16:00,924.69
8/23/17 16:00,927
8/24/17 16:00,921.28
8/25/17 16:00,915.89
8/28/17 16:00,913.81
8/29/17 16:00,921.29
8/30/17 16:00,929.57
8/31/17 16:00,939.33
9/1/17 16:00,937.34
9/5/17 16:00,928.45
9/6/17 16:00,927.81
9/7/17 16:00,935.95
9/8/17 16:00,926.5
9/11/17 16:00,929.08
9/12/17 16:00,932.07
9/13/17 16:00,935.09
9/14/17 16:00,925.11
9/15/17 16:00,920.29
9/18/17 16:00,915
9/19/17 16:00,921.81
9/20/17 16:00,931.58
9/21/17 16:00,932.45
9/22/17 16:00,928.53
9/25/17 16:00,920.97
9/26/17 16:00,924.86
9/27/17 16:00,944.49
9/28/17 16:00,949.5
9/29/17 16:00,959.11
10/2/17 16:00,953.27
10/3/17 16:00,957.79
10/4/17 16:00,951.68
10/5/17 16:00,969.96
10/6/17 16:00,978.89
10/9/17 16:00,977
10/10/17 16:00,972.6
10/11/17 16:00,989.25
10/12/17 16:00,987.83
10/13/17 16:00,989.68
10/16/17 16:00,992
10/17/17 16:00,992.18
10/18/17 16:00,992.81
10/19/17 16:00,984.45
10/20/17 16:00,988.2
10/23/17 16:00,968.45
10/24/17 16:00,970.54
10/25/17 16:00,973.33
10/26/17 16:00,972.56
10/27/17 16:00,1019.27
10/30/17 16:00,1017.11
10/31/17 16:00,1016.64
11/1/17 16:00,1025.5
11/2/17 16:00,1025.58
11/3/17 16:00,1032.48
11/6/17 16:00,1025.9
11/7/17 16:00,1033.33
11/8/17 16:00,1039.85
11/9/17 16:00,1031.26
11/10/17 16:00,1028.07
11/13/17 16:00,1025.75
11/14/17 16:00,1026
11/15/17 16:00,1020.91
11/16/17 16:00,1032.5
11/17/17 16:00,1019.09
11/20/17 16:00,1018.38
11/21/17 16:00,1034.49
11/22/17 16:00,1035.96
11/24/17 13:00,1040.61
11/27/17 16:00,1054.21
11/28/17 16:00,1047.41
11/29/17 16:00,1021.66
11/30/17 16:00,1021.41
12/1/17 16:00,1010.17
12/4/17 16:00,998.68
12/5/17 16:00,1005.15
12/6/17 16:00,1018.38
12/7/17 16:00,1030.93
12/8/17 16:00,1037.05
12/11/17 16:00,1041.1
12/12/17 16:00,1040.48
12/13/17 16:00,1040.61
12/14/17 16:00,1049.15
12/15/17 16:00,1064.19
12/18/17 16:00,1077.14
12/19/17 16:00,1070.68
12/20/17 16:00,1064.95
12/21/17 16:00,1063.63
12/22/17 16:00,1060.12
12/26/17 16:00,1056.74
12/27/17 16:00,1049.37
12/28/17 16:00,1048.14
12/29/17 16:00,1046.4
1/2/18 16:00,1065
1/3/18 16:00,1082.48
1/4/18 16:00,1086.4
1/5/18 16:00,1102.23
1/8/18 16:00,1106.94
1/9/18 16:00,1106.26
1/10/18 16:00,1102.61
1/11/18 16:00,1105.52
1/12/18 16:00,1122.26
1/16/18 16:00,1121.76
1/17/18 16:00,1131.98
1/18/18 16:00,1129.79
1/19/18 16:00,1137.51
1/22/18 16:00,1155.81
1/23/18 16:00,1169.97
1/24/18 16:00,1164.24
1/25/18 16:00,1170.37
1/26/18 16:00,1175.84
1/29/18 16:00,1175.58
1/30/18 16:00,1163.69
1/31/18 16:00,1169.94
2/1/18 16:00,1167.7
2/2/18 16:00,1111.9
2/5/18 16:00,1055.8
2/6/18 16:00,1080.6
2/7/18 16:00,1048.58
2/8/18 16:00,1001.52
2/9/18 16:00,1037.78
2/12/18 16:00,1051.94
2/13/18 16:00,1052.1
2/14/18 16:00,1069.7
2/15/18 16:00,1089.52
2/16/18 16:00,1094.8
