Date,Close
1/4/10 16:00,313.06
1/5/10 16:00,311.68
1/6/10 16:00,303.83
1/7/10 16:00,296.75
1/8/10 16:00,300.71
1/11/10 16:00,300.25
1/12/10 16:00,294.94
1/13/10 16:00,293.25
1/14/10 16:00,294.63
1/15/10 16:00,289.71
1/19/10 16:00,293.52
1/20/10 16:00,289.91
1/21/10 16:00,291.1985
1/22/10 16:00,274.73
1/25/10 16:00,269.73
1/26/10 16:00,270.94
1/27/10 16:00,270.78
1/28/10 16:00,266.8779
1/29/10 16:00,264.707
2/1/10 16:00,266.243
2/2/10 16:00,265.2944
2/3/10 16:00,270.14
2/4/10 16:00,263.126
2/5/10 16:00,265.3794
2/8/10 16:00,266.4683
2/9/10 16:00,267.95
2/10/10 16:00,266.955
2/11/10 16:00,267.93
2/12/10 16:00,266.29
2/16/10 16:00,270.38
2/17/10 16:00,268.834
2/18/10 16:00,271.34
2/19/10 16:00,270.111
2/22/10 16:00,271.13
2/23/10 16:00,267.27
2/24/10 16:00,265.47
2/25/10 16:00,262.9518
2/26/10 16:00,263.14
3/1/10 16:00,266.08
3/2/10 16:00,270.26
3/3/10 16:00,272.39
3/4/10 16:00,277.02
3/5/10 16:00,281.82
3/8/10 16:00,280.96
3/9/10 16:00,279.81
3/10/10 16:00,287.94
3/11/10 16:00,290.28
3/12/10 16:00,289.48
3/15/10 16:00,281.31
3/16/10 16:00,282.32
3/17/10 16:00,282.4972
3/18/10 16:00,282.92
3/19/10 16:00,279.72
3/22/10 16:00,278.47
3/23/10 16:00,274.226
3/24/10 16:00,278.3863
3/25/10 16:00,281.159
3/26/10 16:00,281.0637
3/29/10 16:00,280.94
3/30/10 16:00,283.07
3/31/10 16:00,283.28
4/5/10 16:00,285.22
4/6/10 16:00,283.83
4/7/10 16:00,281.49
4/8/10 16:00,283.4613
4/9/10 16:00,282.83
4/12/10 16:00,286.08
4/13/10 16:00,293.09
4/14/10 16:00,294.21
4/15/10 16:00,297.352
4/16/10 16:00,274.797
4/19/10 16:00,274.77
4/20/10 16:00,277.2425
4/21/10 16:00,276.87
4/22/10 16:00,273.26
4/23/10 16:00,272.22
4/26/10 16:00,265.55
4/27/10 16:00,264.265
4/28/10 16:00,264.33
4/29/10 16:00,265.73
4/30/10 16:00,262.585
5/3/10 16:00,265.03
5/4/10 16:00,252.93
5/5/10 16:00,254.6251
5/6/10 16:00,249.09
5/7/10 16:00,246.32
5/10/10 16:00,260.56
5/11/10 16:00,254.27
5/12/10 16:00,252.44
5/13/10 16:00,255.18
5/14/10 16:00,253.51
5/17/10 16:00,253.731
5/18/10 16:00,248.94
5/19/10 16:00,246.97
5/20/10 16:00,237.2675
5/21/10 16:00,235.79
5/24/10 16:00,238.34
5/25/10 16:00,238.296
5/26/10 16:00,237.5
5/27/10 16:00,244.98
5/28/10 16:00,242.57
6/1/10 16:00,240.94
6/2/10 16:00,246.4383
6/3/10 16:00,252.55
6/4/10 16:00,249.11
6/7/10 16:00,242.5172
6/8/10 16:00,242.15
6/9/10 16:00,236.77
6/10/10 16:00,243.26
6/11/10 16:00,244.01
6/14/10 16:00,241.35
6/15/10 16:00,248.75
6/16/10 16:00,250.38
6/17/10 16:00,249.79
6/18/10 16:00,249.76
6/21/10 16:00,244.036
6/22/10 16:00,242.88
6/23/10 16:00,240.78
6/24/10 16:00,237.312
6/25/10 16:00,236.104
6/28/10 16:00,235.8
6/29/10 16:00,226.9
6/30/10 16:00,222.25
7/1/10 16:00,219.53
7/2/10 16:00,218.0567
7/6/10 16:00,217.817
7/7/10 16:00,224.87
7/8/10 16:00,228.05
7/9/10 16:00,233.51
7/12/10 16:00,237.68
7/13/10 16:00,244.36
7/14/10 16:00,245.422
7/15/10 16:00,246.76
7/16/10 16:00,229.573
7/19/10 16:00,232.86
7/20/10 16:00,240.55
7/21/10 16:00,238.5112
7/22/10 16:00,242.16
7/23/10 16:00,244.78
7/26/10 16:00,244.241
7/27/10 16:00,246.069
7/28/10 16:00,241.93
7/29/10 16:00,242.25
7/30/10 16:00,242.18
8/2/10 16:00,244.96
8/3/10 16:00,244.67
8/4/10 16:00,252.91
8/5/10 16:00,253.796
8/6/10 16:00,249.86
8/9/10 16:00,252.4223
8/10/10 16:00,251.6
8/11/10 16:00,245.62
8/12/10 16:00,245.76
8/13/10 16:00,242.93
8/16/10 16:00,242.5522
8/17/10 16:00,245.01
8/18/10 16:00,240.83
8/19/10 16:00,233.75
8/20/10 16:00,230.779
8/23/10 16:00,231.8
8/24/10 16:00,225.47
8/25/10 16:00,227.08
8/26/10 16:00,225.26
8/27/10 16:00,229.19
8/30/10 16:00,226.119
8/31/10 16:00,224.78
9/1/10 16:00,229.937
9/2/10 16:00,231.36
9/3/10 16:00,234.91
9/7/10 16:00,231.97
9/8/10 16:00,235.0547
9/9/10 16:00,237.85
9/10/10 16:00,237.8319
9/13/10 16:00,240.89
9/14/10 16:00,239.97
9/15/10 16:00,240.08
9/16/10 16:00,240.29
9/17/10 16:00,244.83
9/20/10 16:00,253.89
9/21/10 16:00,256.47
9/22/10 16:00,257.74
9/23/10 16:00,256.4833
9/24/10 16:00,263.381
9/27/10 16:00,264.9398
9/28/10 16:00,263.32
9/29/10 16:00,263.5812
9/30/10 16:00,262.632
10/1/10 16:00,262.55
10/4/10 16:00,260.9138
10/5/10 16:00,268.85
10/6/10 16:00,266.9078
10/7/10 16:00,264.74
10/8/10 16:00,267.907
10/11/10 16:00,269.15
10/12/10 16:00,270.4243
10/13/10 16:00,271.378
10/14/10 16:00,270.19
10/15/10 16:00,300.42
10/18/10 16:00,308.55
10/19/10 16:00,303.61
10/20/10 16:00,303.69
10/21/10 16:00,305.69
10/22/10 16:00,305.96
10/25/10 16:00,307.9418
