Date,Close
1/2/18 16:00,5.21
1/3/18 16:00,5.21
1/4/18 16:00,5.31
1/5/18 16:00,5.33
1/8/18 16:00,5.31
1/9/18 16:00,5.31
1/10/18 16:00,5.555
1/11/18 16:00,5.5
1/12/18 16:00,5.48
1/16/18 16:00,5.38
1/17/18 16:00,5.44
1/18/18 16:00,5.47
1/19/18 16:00,5.6
1/22/18 16:00,5.65
1/23/18 16:00,5.68
1/24/18 16:00,5.73
1/25/18 16:00,5.77
1/26/18 16:00,5.98
1/29/18 16:00,5.98
1/30/18 16:00,5.95
1/31/18 16:00,6.11
2/1/18 16:00,6.11
2/2/18 16:00,6.11
2/5/18 16:00,6.02
2/6/18 16:00,6.05
2/7/18 16:00,6
2/8/18 16:00,5.85
2/9/18 16:00,5.82
2/12/18 16:00,5.85
2/13/18 16:00,5.96
2/14/18 16:00,6.09
2/15/18 16:00,6.15
2/16/18 16:00,6.11
